Id;Coor_X;Coor_Y;Class;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Av50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor
107;497435,8;4144499,05;2;1108720;1,10872;48,35;46,3;1,97;92,94;48,15;1,97;114,58;1068,83;1065,58;1049,04;1071,88;1054,93;997,1;1072,75;2;22,59;156,61;319,82
108;497548,17;4144533,38;2;678193;0,678193;65,9;59,85;24,63;76,67;58,3;20,44;106,73;978,37;982,38;966,52;1001,08;989,52;950,75;1053,42;2;35,17;53,51;212,54
109;496895,79;4144327,37;2;2960480;2,96048;2,43;2,48;2,09;3,09;2,46;1,9;3,12;1067,89;1067,16;1066,35;1067,92;1067,25;1065,34;1069,31;8;326,89;205,67;869,99
110;496998,79;4144296,15;2;2162810;2,16281;4,43;3,81;2,34;4,61;3,33;1,93;4,61;1069,07;1068,69;1067,4;1070,03;1068,75;1066,15;1070,86;1;10,12;283,4;794,35
111;497008,16;4144271,18;2;2331000;2,331;3,7;3,44;2,17;4,52;3,19;1,19;4,61;1070,03;1069,44;1068,36;1070,6;1069,36;1066,79;1071,78;2;33,21;283;799,7
112;497610,6;4144093,26;2;1969030;1,96903;2,47;2,47;1,98;2,93;2,46;1,81;2,93;1080,54;1080,42;1079,67;1081,2;1080,49;1078,57;1082,48;1;8,93;401,69;400,99
113;497807,25;4144258,69;2;1494780;1,49478;76,93;68,43;1,27;143,05;60,26;1,27;143,05;1075,99;1072,25;1045,37;1079,66;1057,76;999,47;1080,85;2;38,56;145,8;146,42
114;498278,59;4144517,77;2;982891;0,982891;79,68;52,08;1,84;128,43;49,46;1,04;128,43;1073,74;1068,04;1045,51;1077,81;1060,9;1016,01;1078,55;7;262,01;366,41;377,71
115;498297,32;4144442,86;2;1052720;1,05272;37,64;49,78;1,12;117,47;41,03;0,26;118,87;1077,29;1071,7;1051,31;1078,97;1065,73;1029,09;1080,1;7;261,34;330,89;337,98
116;498306,68;4144158,81;2;3770110;3,77011;1,75;1,9;1,48;2,34;2,03;1,48;2,61;1085,04;1084,64;1084,08;1085,62;1084,56;1082,45;1086,28;1;7,6;215,41;220,22
117;497932,11;4143837,3;2;3118430;3,11843;17,16;31,79;1,13;89,1;35,03;1,01;104,98;1087,69;1084,8;1070,97;1088,9;1077,33;1036,15;1090,2;3;91,94;196,55;191,8
118;497704,24;4143753,02;2;2992910;2,99291;3,12;2,89;1,91;3,5;2,75;1,49;3,76;1088,65;1088,41;1087,57;1089,1;1088,38;1086,21;1090,36;8;328,8;331,01;434,71
119;497685,51;4143737,41;2;2787190;2,78719;3,45;3,23;2,32;3,79;3,04;1,8;3,93;1088,66;1088,51;1087,8;1089,29;1088,29;1086,12;1090,46;8;325,28;343,31;456,44
120;498222,4;4144093,26;2;1270470;1,27047;66,39;52,59;2,21;78,85;47,39;0,18;92,71;1078,83;1075,51;1056,99;1086;1067,78;1012,5;1086,97;7;257,09;117,46;120,92
121;498238,01;4144071,41;2;1373580;1,37358;34,91;37,35;1,2;86,76;37,63;0,18;97,5;1085,23;1080,57;1063,12;1086,36;1072,83;1020,16;1087,4;7;256,5;131,64;133,85
122;498244,26;4144052,68;2;1389170;1,38917;39,99;34,26;1,2;92,71;36,09;0,18;113,29;1083,61;1082,15;1068,12;1086,86;1074,12;1018,33;1087,65;7;261,07;137,55;139,44
123;498247,38;4144021,46;2;1242000;1,242;25,82;32,57;1,4;86,04;39,58;1,31;118,56;1086,19;1082,25;1068,63;1087,4;1072,73;1014,07;1088,18;7;271,01;129,54;132,52
124;497585,63;4143656,25;2;2322170;2,32217;3,53;3,28;1,82;3,8;3,03;0,93;4,02;1088,81;1088,15;1087,02;1089,12;1088,23;1085,91;1090,85;8;333,1;332,25;551,04
125;497457,65;4143771,75;2;2390050;2,39005;2,72;2,34;1,05;3,88;2,21;0,34;4,27;1085,57;1085,17;1084,48;1085,86;1084,77;1082,85;1086,81;8;323,54;325,34;666,68
126;497310,94;4143740,53;2;2089580;2,08958;2,27;2,45;1,68;3,27;2,56;1,61;3,61;1083,69;1083,3;1082,41;1084,13;1083,28;1081,41;1085,35;8;318,18;225,3;816,67
127;497076,83;4143771,75;2;1924750;1,92475;2,69;2,53;1,98;3,04;2,51;1,86;3,19;1079,08;1079,06;1078,26;1079,82;1079,07;1077,15;1081,07;8;327,29;161,99;1023,56
128;497919,62;4143462,72;2;570760;0,57076;49,24;45,85;6,99;66,3;39,49;1,14;71,4;1084,28;1085,65;1071,03;1096,26;1082,76;1040,91;1097,52;3;80,03;43,77;195,77
129;497904,02;4143425,27;2;3218540;3,21854;31,71;26,24;1,14;60,64;27,08;0,82;67,58;1096,3;1093,4;1080,88;1097,21;1088,18;1053,03;1098,33;3;74,49;69,42;210,01
130;497907,14;4143400,29;2;3569500;3,5695;16,13;24,37;0,82;60,98;25,88;0,82;66,14;1096,45;1094,34;1082,34;1097,88;1089,07;1055,35;1098,95;2;51,14;82,96;206,9
131;498326,97;4143863,05;2;624503;0,624503;40,41;29,44;0,41;64,43;29,54;0,41;95,94;1086,63;1086,01;1070,91;1090,74;1080,38;1031,18;1091,75;7;265,64;50,62;191,43
132;498326,97;4143853,69;2;625103;0,625103;47,61;30,39;0,41;64,43;30,39;0,41;95,94;1086,15;1085,82;1070,91;1090,93;1080,09;1031,18;1091,97;7;268,45;49,16;190,15
