Id;Coor_X ;Coor_Y;Area;Necrop;Muni;Grid10;Grid50;Cad_Ref;Cad_Pol;Cad_Par;Ort_Cham;Ort_Cov;Corridor;Typo2019;Typo1959;Cham_Len59;Cham_Wid59;Cham_Hei59;Surface59;Volume59;Corr_Len59;Corr_Wid59;Cham_Len19;Cham_Wid19;Cham_Hei19;Surface19;Volume19;Corr_Len19;Corr_Wid19;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Min50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Corr;Ori_Corr2;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor;Dis_Fardes;Dis_Baul;Topo_Terr;Riverside;Use1870;Use1956;Conserv;Geo;Litho;Gull_Ero;Aeol_Ero
118;498211;4144833;12;5;2;99332;993;18091A06500049;65;49;5;0;1;1;5;1,65;1,5;0,95;2,47;2,35;;;1,25;1,65;0,6;2,06;1,23;1,6;0,6;4395920;4,39592;15,83;29,68;1,4;78,26;32,71;0,39;93,7;1071,79;1068,88;1055,02;1072,42;1065,78;1039,23;1072,99;4;146;6;236,12;256,8;414,44;10455,45;6959,03;1;1;4;1;2;3;2;0;0
124;497421;4144957;13;6;2;99322;993;18088A00800104;8;104;8;0;0;2;1;4;2,25;1,8;9;16,2;;;;;;;;;;841986;0,841986;25,03;25,93;16,15;33,49;27,12;5,13;45,32;961,75;961,01;954,2;968,7;960,97;947,95;975,46;3;81;3;73,12;200,61;192,1;9718,31;7747,74;2;2;4;1;2;2;2;0;0
125;497413;4144809;13;6;2;99322;993;18088A00800104;8;104;6;0;1;2;2;1,25;0,75;0,9;0,93;0,84;;;1,1;0,79;0,76;0,86;0,66;0,8;0,44;902495;0,902495;52,3;49,43;38,35;61,76;49,8;32,84;61,76;989,96;988,14;971,11;1002,9;988,79;963,7;1015,34;5;160;3;80,84;219,06;250,97;9792,22;7757,35;2;2;4;1;2;2;2;0;0
126;497451;4144755;13;6;2;99322;993;18088A00800104;8;104;3;0;0;;;;;;;;;;;;;;;;;967875;0,967875;49,83;42,99;26,92;57,18;45,1;26,92;57,44;991,19;988,75;975,09;999,01;987,2;967,33;1006,31;2;30;2;41,92;157,49;210,09;9853,69;7720,66;2;2;4;1;2;2;2;0;0
127;497450;4144756;13;6;2;99322;993;18088A00800104;8;104;3;0;0;;;;;;;;;;;;;;;;;972044;0,972044;53,55;43,14;26,92;57,18;45,14;26,92;57,44;991,19;988,68;975,09;999,01;987,31;967,33;1006,31;4;146;2;41,92;158,85;211,02;9852,31;7721,63;2;2;4;1;3;2;2;0;0
128;497461;4144723;13;6;2;99322;993;18088A00800104;8;104;2;0;0;;2;1,45;1,2;0,95;1,74;1,65;;;;;;;;;;903374;0,903374;45,79;42,99;26,92;53,47;44,3;26,92;61,78;991,2;989,45;978,7;1000,62;987,47;968,56;1007,96;2;65;3;99;134,9;204,75;9879,73;7711,61;2;2;4;1;2;2;2;0;0
129;497416;4144670;13;6;2;99322;993;18088A00800104;8;104;4;0;1;2;5;1,85;1,35;1,45;2,49;3,62;;;1,6;1,35;1,46;2,16;3,15;;;932022;0,932022;47,21;48,37;32,77;66,78;48,41;24,97;76,52;1012,14;1009,02;994,85;1022,75;1008,84;987,3;1032,22;5;179;3;88,46;171,95;263,7;9871,87;7758,44;2;2;4;1;2;2;2;0;0
130;497401;4144704;13;6;2;99322;993;18088A00800104;8;104;7;0;1;2;2;2;1,1;1,9;2,2;4,18;;;1,5;1,15;1,35;1,72;2,32;1,35;0,58;979702;0,979702;31,42;37,43;24,97;54,32;43,6;24,97;64,18;1013,62;1012,23;1000,74;1021,93;1011,67;991,56;1030,41;4;122;3;84,61;188,75;267,52;9840,43;7772,2;2;2;4;1;2;2;2;0;0
131;497484;4144631;13;6;2;99322;993;18088A00800104;8;104;9;1;1;1;1;3,3;1,9;1,7;6,27;10,65;;;0,82;2;1,6;1,64;2,62;;;628044;0,628044;29,01;34,88;26,64;52,96;41,66;26,64;69,48;983;983,08;974,37;994,41;983,77;967,77;1004,87;5;166;3;93,37;96,63;208,85;9950,05;7692,09;2;2;4;1;1;2;2;0;0
132;498172;4144756;15;6;2;99332;993;18088A00800106;8;106;4;0;1;2;5;1,7;;1,4;;;;;1,8;1,45;1,2;2,61;3,13;2,6;0,45;983570;0,98357;33,84;37,17;6,9;70,59;44,18;6,9;75,75;1038,25;1037,6;1026,02;1046,98;1037,51;1016,53;1061,07;4;151;7;268,98;210,37;340,54;10461,83;6999,93;2;1;4;1;2;3;2;0;0
133;498168;4144742;15;6;2;99332;993;18088A00800106;8;106;5;1;1;1;5;1,65;1,65;0,9;2,72;2,45;;;1,6;0,9;0,9;1,44;1,29;1,2;0,4;960345;0,960345;18,68;36,26;6,9;70,59;40,21;6,9;70,59;1038,56;1035,55;1023,59;1043,67;1034,6;1014,97;1054,12;5;158;7;282,71;210,62;330,52;10465,71;7004,36;2;1;4;1;2;3;2;0;0
134;498179;4144686;15;6;2;99332;993;18088A00800106;8;106;6;3;1;2;1;3,85;2,6;2,2;10,01;22,02;;;3,5;2,2;1,8;7,7;13,86;0,6;0,6;889943;0,889943;29,29;36,34;12,7;58,54;40,05;6,9;85,48;1036,12;1032,34;1020,85;1041,63;1031,95;1015,12;1055,82;4;141;6;212,94;231,96;319,98;10504,37;6995,4;2;1;4;1;1;2;2;0;0
135;498107;4144643;15;6;2;99322;993;18088A00800106;8;106;5;0;1;2;5;1,5;1;1;1,5;1,5;;;1,3;1,2;0,9;1,56;1,4;0,9;0,35;665180;0,66518;27,09;21,38;5,73;48,04;25,87;3,94;61,84;1016,25;1013,73;1008,31;1017,78;1011,52;999,16;1019,43;4;147;4;153,85;198,78;239,51;10465,89;7069,18;2;1;4;1;2;2;2;0;0
136;497966;4144599;14;6;2;99322;993;18088A00800107;8;107;3;0;0;2;;;;;;;;;;;;;;;;912539;0,912539;21,59;21,77;0,66;67,61;31,23;0,51;90,4;989,19;987,13;981,32;992,82;984,03;963,52;992,82;;;2;54;97,61;93,53;10370,34;7212,15;2;1;4;7;2;2;2;0;0
137;498136;4144574;14;6;2;99322;993;18088A00800107;8;107;5;0;1;1;5;1,6;1,3;1,35;2,08;2,8;;;1,6;1,2;1,35;1,92;2,59;0,9;0,6;600477;0,600477;17,9;19,74;8,92;31,86;21,08;8,1;35,7;1009,15;1007,01;998,98;1011,82;1006,8;994,84;1018,02;5;172;7;275,58;261,73;264,11;10527,18;7043,73;2;1;4;1;2;2;2;0;0
138;498124;4144499;14;6;2;99322;993;18088A00800107;8;107;5;0;1;1;5;1,7;1,35;1,35;2,29;3,09;;;1,6;1;1,25;1,6;2;1,25;0,45;654709;0,654709;12,5;15,42;8,02;25,08;16,46;8,02;29,94;1004,11;1002,96;997,82;1006,88;1002,85;993,76;1010,45;4;139;8;301,61;245,63;248,32;10557,32;7060,29;2;1;4;1;2;2;2;0;0
